Epoch,GIN_Train_Loss_Mean,GIN_Test_Acc_Mean,StaticCW_Train_Loss_Mean,StaticCW_Test_Acc_Mean,DynamicCW_Train_Loss_Mean,DynamicCW_Test_Acc_Mean
1,0.7615567129023754,60.31630170316301,1.0959399500322458,55.4257907542579,1.255538406598307,59.56204379562043
2,0.7089853394640624,60.36496350364964,0.7483012749910936,56.03406326034062,0.7395320644343857,58.929440389294406
3,0.6990960858164041,61.38686131386861,0.7300224769144453,57.22627737226277,0.7241099826900917,57.88321167883212
4,0.682674660618868,60.92457420924573,0.7197594520239354,57.372262773722625,0.7128509518873953,59.02676399026764
5,0.6749596283383614,60.02433090024331,0.7109227805242051,57.810218978102185,0.7071019725787958,57.615571776155704
6,0.6728439772216073,59.87834549878346,0.7078211882108609,58.61313868613139,0.6991012905055879,61.8978102189781
7,0.6675098225438102,60.07299270072993,0.7036348314180861,59.29440389294405,0.6920100196144586,62.26277372262774
8,0.6653177064410671,62.14111922141119,0.6979866762520913,59.026763990267646,0.6913033900759806,62.992700729927
9,0.6656990703875131,58.68613138686131,0.6954640490585291,57.85888077858881,0.6846802842878077,62.214111922141115
10,0.66123229833705,60.68126520681265,0.6922593700624731,60.2676399026764,0.6866127971024989,62.40875912408759
11,0.6567699405108635,61.630170316301715,0.6886436881520162,58.71046228710462,0.6821230502024184,63.381995133819956
12,0.6575440139085997,60.583941605839414,0.68423344497263,60.38929440389295,0.6790509495711965,61.484184914841855
13,0.6528574252650685,62.360097323600975,0.6844345272602537,59.09975669099757,0.6725790867260193,62.992700729927
14,0.6534345433079704,62.04379562043796,0.6823376652098049,59.124087591240865,0.6735107650431984,63.333333333333336
15,0.6494094293192936,63.04136253041363,0.6808630797114686,56.18004866180049,0.6740327096623516,63.7956204379562
16,0.6473828427983026,62.14111922141119,0.6801769829724537,58.95377128953771,0.6701054065186902,63.18734793187349
17,0.6415315287826705,63.065693430656935,0.6790861234757731,60.29197080291971,0.6704452588610407,64.16058394160584
18,0.6388790455177753,62.725060827250616,0.6746514414638788,60.2676399026764,0.6684549492351041,59.97566909975669
19,0.6361560595006548,63.62530413625304,0.6718381806881759,59.34306569343066,0.6646330619380423,63.33333333333335
20,0.6354906613229254,64.23357664233576,0.6722501804358767,60.60827250608272,0.6630752966061706,63.04136253041362
21,0.634156955100614,64.47688564476884,0.6678559953568917,60.41362530413626,0.6625345696788054,63.62530413625304
22,0.6367139737681461,65.62043795620437,0.669741560304832,61.80048661800488,0.6550310032211081,64.08759124087591
23,0.6291179567647966,63.74695863746958,0.6662896264788587,62.06812652068127,0.6555850138919487,63.67396593673966
24,0.6270052843720374,64.25790754257908,0.6649805094493857,61.605839416058394,0.6491529215571363,64.30656934306569
